10.100.0.1 Brewster
10.100.10.1 Worthington
10.100.20.1 Windom
10.100.30.1 MtLake
10.100.40.1 Jeffers
10.100.50.1 HeronLake
10.100.60.1 BrewsterGrain
10.100.70.1 Dundee
10.100.80.1 Reading
10.100.110.1 HillsOffice
10.100.120.1 BeaverCreek
10.100.130.1 HillsTerm
10.100.170.1 Wilmont
10.100.180.1 Magnolia
10.100.181.1 Adrain
10.100.190.1 Ellsworth
10.100.200.1 Lismore
10.100.201.1 LismoreTerm
10.100.202.1 Miloma
10.100.203.1 Alpha
10.100.204.1 Marna
10.100.55.17 AgVantage
66.173.25.167 Agvantage
10.100.2.1 test
